symbol,date,quarter,positive_score,negative_score,neutral_score,polarity,sentiment_confidence,optimism_ratio,caution_ratio,transcript_length,word_complexity,price_volatility,prev_quarter_movement,label
TYL,2021-07-29,2021-Q2,0.0542,0.0351,0.9107,0.0191,0.8756,0.6333,0.3667,4189,5.9506,0.137,-8.7606,0
MSFT,2021-04-27,2021-Q3,0.091,0.0306,0.8784,0.0604,0.8478,0.8333,0.1667,4176,6.4246,0.2088,1.06,0
TDY,2021-07-28,2021-Q2,0.1044,0.0412,0.8544,0.0632,0.8132,0.9143,0.0857,2922,5.9901,0.241,0.3951,1
APH,2021-04-28,2021-Q1,0.0852,0.0293,0.8855,0.0558,0.8562,0.8333,0.1667,4783,6.2854,0.204,-5.41,0
GD,2021-01-27,2020-Q4,0.0931,0.0359,0.871,0.0572,0.8351,0.8036,0.1964,3780,6.1532,0.1769,,0
XOM,2022-10-28,2022-Q3,0.0849,0.0236,0.8916,0.0613,0.868,0.84,0.16,4440,5.936,0.3554,1.5508,1
AMCR,2021-08-17,2021-Q4,0.1083,0.0244,0.8674,0.0839,0.843,0.7901,0.2099,5220,5.9082,0.1445,5.5979,1
REGN,2021-11-04,2021-Q3,0.0716,0.0255,0.9029,0.0461,0.8774,0.8462,0.1538,4617,6.6855,0.3471,6.56,0
NXPI,2022-05-03,2022-Q1,0.0795,0.0323,0.8881,0.0472,0.8558,0.72,0.28,3770,6.0767,0.3699,-3.5631,1
AVGO,2022-12-08,2022-Q4,0.0733,0.0346,0.8922,0.0387,0.8576,0.75,0.25,2896,5.9144,0.4252,-3.11,1
BIIB,2022-10-25,2022-Q3,0.0647,0.0297,0.9056,0.035,0.8759,0.7381,0.2619,4156,6.4641,1.3698,-3.1585,1
ABT,2022-01-26,2021-Q4,0.1248,0.023,0.8523,0.1018,0.8293,0.8868,0.1132,3942,5.8681,0.1669,8.3547,1
MMM,2022-01-25,2021-Q4,0.0802,0.0556,0.8642,0.0246,0.8086,0.7391,0.2609,4898,6.1211,0.1613,-2.0395,0
CZR,2021-11-02,2021-Q3,0.1519,0.0332,0.8148,0.1187,0.7816,0.9032,0.0968,3168,5.7086,0.3223,4.6243,0
FDX,2021-09-21,2022-Q1,0.1119,0.0484,0.8397,0.0635,0.7913,0.7733,0.2267,4602,6.2093,0.1629,1.87,0
NOW,2022-07-27,2022-Q2,0.0747,0.0226,0.9026,0.0521,0.88,0.8649,0.1351,4642,5.9627,0.604,11.4,0
AMCR,2021-11-02,2022-Q1,0.1085,0.0254,0.866,0.0831,0.8406,0.7662,0.2338,5355,5.9442,0.1336,4.6645,0
ITW,2021-02-05,2020-Q4,0.0802,0.025,0.8948,0.0552,0.8698,0.9077,0.0923,5106,5.9528,0.1751,,1
NEE,2023-01-25,2022-Q4,0.1079,0.0238,0.8683,0.084,0.8445,0.9268,0.0732,5086,6.3795,0.1806,1.8719,0
DIS,2022-05-11,2022-Q2,0.115,0.0993,0.7857,0.0158,0.6864,0.7551,0.2449,4074,6.0817,0.3447,5.8522,0
IDXX,2021-11-02,2021-Q3,0.2309,0.0221,0.747,0.2088,0.7249,0.9351,0.0649,3547,6.2509,0.1559,1.6784,0
EQIX,2022-07-27,2022-Q2,0.0909,0.0195,0.8896,0.0714,0.8701,0.9474,0.0526,4313,6.2031,0.2932,-6.6616,1
RCL,2021-04-29,2021-Q1,0.0647,0.028,0.9072,0.0367,0.8792,0.7308,0.2692,3626,5.8508,0.3208,18.2579,0
L,2020-05-04,2020-Q1,0.0533,0.186,0.7607,-0.1327,0.7074,0.2973,0.7027,1897,6.4776,0.7679,1.7653,0
IT,2021-11-02,2021-Q3,0.1301,0.0291,0.8409,0.101,0.8118,0.9483,0.0517,3883,6.0005,0.2047,10.53,0
SJM,2021-08-26,2022-Q1,0.0714,0.0267,0.902,0.0447,0.8753,0.7778,0.2222,2320,5.9578,0.2028,2.5167,0
MCK,2022-11-01,2023-Q2,0.1107,0.0982,0.7911,0.0124,0.6929,0.7324,0.2676,4331,6.6825,0.2345,1.4485,1
VRTX,2019-10-30,2019-Q3,0.0777,0.0226,0.8997,0.0552,0.8771,0.963,0.037,4496,6.0523,0.2511,5.6127,1
NOC,2022-01-27,2021-Q4,0.0819,0.0309,0.8872,0.051,0.8563,0.7288,0.2712,3805,6.1603,0.1456,-13.14,0
APA,2022-08-04,2022-Q2,0.0584,0.0355,0.9061,0.0229,0.8706,0.5278,0.4722,3286,5.7179,0.62,-7.9537,0
